# kind	source	meet_id	div_id	n	c_pct	iqr_pct	d_eff	seasons_flagged	seasons_total	already	proposed	decision	target
# decision <- KEEP/OVERRIDE/DROP/GENDER ; target <- metres or M/F
# c_pct = whole-field spike vs each runner's OWN bracket
DIV	anet	263519	1048978	16	-33.1	5.7	2859	2	22	-	INVESTIGATE		
DIV	anet	154441	643502	16	-33.0	6.3	1629	11	14	-	PERSISTENT		
DIV	anet	92508	395664	17	-32.9	14.0	655	7	21	-	INVESTIGATE		
DIV	anet	246671	978424	14	-32.9	6.8	1434	4	15	-	INVESTIGATE		
DIV	anet	164853	680324	23	-32.9	7.4	2153	1	2	-	INVESTIGATE		
DIV	anet	260890	1035860	12	+48.6	5.5	3065	1	5	-	INVESTIGATE		
DIV	anet	260890	1035858	19	+48.5	5.4	3069	1	5	-	INVESTIGATE		
DIV	tfrrs	9756	3	24	+48.4	5.7	5078	na	na	-	INVESTIGATE		
DIV	tfrrs	8827	2	41	-32.5	4.1	3985	na	na	OVERRIDE	REGRESSION		
DIV	tfrrs	8664	1	21	-32.5	5.0	4176	na	na	OVERRIDE	REGRESSION		
